VTX, IDX, ATTRIBUTE0.x, ATTRIBUTE0.y, ATTRIBUTE0.z, ATTRIBUTE1.x, ATTRIBUTE1.y, ATTRIBUTE1.z, ATTRIBUTE1.w, ATTRIBUTE2.x, ATTRIBUTE2.y, ATTRIBUTE2.z, ATTRIBUTE2.w, ATTRIBUTE5.x, ATTRIBUTE5.y, ATTRIBUTE6.x, ATTRIBUTE6.y, ATTRIBUTE13.x, ATTRIBUTE13.y, ATTRIBUTE13.z, ATTRIBUTE13.w, ATTRIBUTE3.x, ATTRIBUTE3.y, ATTRIBUTE3.z, ATTRIBUTE3.w, ATTRIBUTE14.x, ATTRIBUTE14.y, ATTRIBUTE14.z, ATTRIBUTE14.w, ATTRIBUTE4.x, ATTRIBUTE4.y, ATTRIBUTE4.z, ATTRIBUTE4.w, ATTRIBUTE15.x, ATTRIBUTE15.y, ATTRIBUTE15.z, ATTRIBUTE15.w, ATTRIBUTE12.x, ATTRIBUTE12.y, ATTRIBUTE12.z, ATTRIBUTE11.x, ATTRIBUTE11.y, ATTRIBUTE11.z
438, 30981, 9.752, 0.51143, 175.30116, -0.59055, -0.66142, 0.46457, 1.00, 0.51181, 0.13386, 0.85039, 1.00, 0.19849, 0.02151, 0.94336, 0.6499, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
439, 30979, 9.3324, 0.90013, 175.44386, -0.83465, -0.40157, 0.37008, 1.00, 0.34646, 0.14173, 0.92913, 1.00, 0.21631, 0.01347, 0.94434, 0.6499, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
440, 30982, 9.50101, 0.99963, 175.35435, -0.70866, -0.55118, 0.43307, 1.00, 0.4252, 0.15748, 0.88976, 1.00, 0.19849, 0.01347, 0.94336, 0.6499, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
441, 30983, 9.99195, 0.82884, 175.08057, -0.44882, -0.76378, 0.45669, 1.00, 0.59055, 0.13386, 0.79528, 1.00, 0.17395, 0.02151, 0.94238, 0.6499, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
442, 30977, 10.38848, 0.49359, 174.81311, -0.37795, -0.79528, 0.47244, 1.00, 0.66142, 0.12598, 0.74016, 1.00, 0.17273, 0.03302, 0.94238, 0.65039, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
443, 30981, 9.752, 0.51143, 175.30116, -0.59055, -0.66142, 0.46457, 1.00, 0.51181, 0.13386, 0.85039, 1.00, 0.19849, 0.02151, 0.94336, 0.6499, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
444, 30981, 9.752, 0.51143, 175.30116, -0.59055, -0.66142, 0.46457, 1.00, 0.51181, 0.13386, 0.85039, 1.00, 0.19849, 0.02151, 0.94336, 0.6499, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
445, 30982, 9.50101, 0.99963, 175.35435, -0.70866, -0.55118, 0.43307, 1.00, 0.4252, 0.15748, 0.88976, 1.00, 0.19849, 0.01347, 0.94336, 0.6499, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
446, 30983, 9.99195, 0.82884, 175.08057, -0.44882, -0.76378, 0.45669, 1.00, 0.59055, 0.13386, 0.79528, 1.00, 0.17395, 0.02151, 0.94238, 0.6499, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
447, 30983, 9.99195, 0.82884, 175.08057, -0.44882, -0.76378, 0.45669, 1.00, 0.59055, 0.13386, 0.79528, 1.00, 0.17395, 0.02151, 0.94238, 0.6499, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
448, 30978, 10.5134, 0.82191, 174.63483, -0.31496, -0.83465, 0.45669, 1.00, 0.68504, 0.13386, 0.71654, 1.00, 0.16064, 0.03302, 0.94141, 0.65039, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
449, 30977, 10.38848, 0.49359, 174.81311, -0.37795, -0.79528, 0.47244, 1.00, 0.66142, 0.12598, 0.74016, 1.00, 0.17273, 0.03302, 0.94238, 0.65039, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
450, 30978, 10.5134, 0.82191, 174.63483, -0.31496, -0.83465, 0.45669, 1.00, 0.68504, 0.13386, 0.71654, 1.00, 0.16064, 0.03302, 0.94141, 0.65039, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
451, 30983, 9.99195, 0.82884, 175.08057, -0.44882, -0.76378, 0.45669, 1.00, 0.59055, 0.13386, 0.79528, 1.00, 0.17395, 0.02151, 0.94238, 0.6499, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
452, 30984, 10.0784, 1.03369, 174.97433, -0.35433, -0.82677, 0.43307, 1.00, 0.6063, 0.14961, 0.77953, 1.00, 0.1626, 0.02151, 0.94141, 0.6499, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
453, 30980, 9.30304, 1.53401, 175.33522, -0.68504, -0.59055, 0.43307, 1.00, 0.3937, 0.19685, 0.89764, 1.00, 0.17993, 0.00545, 0.94287, 0.64941, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
454, 30985, 9.63936, 1.1329, 175.25674, -0.53543, -0.70866, 0.46457, 1.00, 0.50394, 0.1811, 0.84252, 1.00, 0.17566, 0.01347, 0.94238, 0.6499, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
455, 30982, 9.50101, 0.99963, 175.35435, -0.70866, -0.55118, 0.43307, 1.00, 0.4252, 0.15748, 0.88976, 1.00, 0.19849, 0.01347, 0.94336, 0.6499, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
456, 30983, 9.99195, 0.82884, 175.08057, -0.44882, -0.76378, 0.45669, 1.00, 0.59055, 0.13386, 0.79528, 1.00, 0.17395, 0.02151, 0.94238, 0.6499, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
457, 30982, 9.50101, 0.99963, 175.35435, -0.70866, -0.55118, 0.43307, 1.00, 0.4252, 0.15748, 0.88976, 1.00, 0.19849, 0.01347, 0.94336, 0.6499, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
458, 30985, 9.63936, 1.1329, 175.25674, -0.53543, -0.70866, 0.46457, 1.00, 0.50394, 0.1811, 0.84252, 1.00, 0.17566, 0.01347, 0.94238, 0.6499, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
459, 30983, 9.99195, 0.82884, 175.08057, -0.44882, -0.76378, 0.45669, 1.00, 0.59055, 0.13386, 0.79528, 1.00, 0.17395, 0.02151, 0.94238, 0.6499, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
460, 30985, 9.63936, 1.1329, 175.25674, -0.53543, -0.70866, 0.46457, 1.00, 0.50394, 0.1811, 0.84252, 1.00, 0.17566, 0.01347, 0.94238, 0.6499, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
461, 30984, 10.0784, 1.03369, 174.97433, -0.35433, -0.82677, 0.43307, 1.00, 0.6063, 0.14961, 0.77953, 1.00, 0.1626, 0.02151, 0.94141, 0.6499, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
462, 30980, 9.30304, 1.53401, 175.33522, -0.68504, -0.59055, 0.43307, 1.00, 0.3937, 0.19685, 0.89764, 1.00, 0.17993, 0.00545, 0.94287, 0.64941, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
463, 30986, 9.69632, 1.24522, 175.18561, -0.3937, -0.77953, 0.48819, 1.00, 0.53543, 0.24409, 0.81102, 1.00, 0.16638, 0.01347, 0.94141, 0.6499, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
464, 30985, 9.63936, 1.1329, 175.25674, -0.53543, -0.70866, 0.46457, 1.00, 0.50394, 0.1811, 0.84252, 1.00, 0.17566, 0.01347, 0.94238, 0.6499, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
465, 30986, 9.69632, 1.24522, 175.18561, -0.3937, -0.77953, 0.48819, 1.00, 0.53543, 0.24409, 0.81102, 1.00, 0.16638, 0.01347, 0.94141, 0.6499, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
466, 30984, 10.0784, 1.03369, 174.97433, -0.35433, -0.82677, 0.43307, 1.00, 0.6063, 0.14961, 0.77953, 1.00, 0.1626, 0.02151, 0.94141, 0.6499, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
467, 30985, 9.63936, 1.1329, 175.25674, -0.53543, -0.70866, 0.46457, 1.00, 0.50394, 0.1811, 0.84252, 1.00, 0.17566, 0.01347, 0.94238, 0.6499, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
468, 30987, 11.81113, -3.37703, 163.8101, 0.52756, -0.73228, 0.4252, 1.00, 0.73228, 0.14173, -0.66929, 1.00, 0.11884, 0.25293, 0.93994, 0.66064, 0.50196, 0.50196, 0.50196, 1.00, 0, 2, 1, 3, 0, 0, 0, 0, 0.31765, 0.30196, 0.23137, 0.14902, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
469, 30988, 12.40359, -2.95643, 164.63875, -0.0315, -0.83465, 0.55906, 1.00, 0.90551, -0.25197, -0.33071, 1.00, 0.12451, 0.23608, 0.94043, 0.65967, 0.50196, 0.50196, 0.50196, 1.00, 0, 2, 1, 3, 0, 0, 0, 0, 0.40392, 0.31765, 0.21961, 0.05882, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
470, 30989, 12.26351, -2.7254, 164.50275, 0.45669, -0.77165, 0.44094, 1.00, 0.80315, 0.14961, -0.5748, 1.00, 0.11884, 0.23608, 0.93994, 0.65967, 0.50196, 0.50196, 0.50196, 1.00, 0, 2, 1, 3, 0, 0, 0, 0, 0.40784, 0.33333, 0.20392, 0.0549, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
471, 30988, 12.40359, -2.95643, 164.63875, -0.0315, -0.83465, 0.55906, 1.00, 0.90551, -0.25197, -0.33071, 1.00, 0.12451, 0.23608, 0.94043, 0.65967, 0.50196, 0.50196, 0.50196, 1.00, 0, 2, 1, 3, 0, 0, 0, 0, 0.40392, 0.31765, 0.21961, 0.05882, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
472, 30987, 11.81113, -3.37703, 163.8101, 0.52756, -0.73228, 0.4252, 1.00, 0.73228, 0.14173, -0.66929, 1.00, 0.11884, 0.25293, 0.93994, 0.66064, 0.50196, 0.50196, 0.50196, 1.00, 0, 2, 1, 3, 0, 0, 0, 0, 0.31765, 0.30196, 0.23137, 0.14902, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
473, 30990, 11.93213, -3.54397, 163.90724, 0.01575, -0.7874, 0.61417, 1.00, 0.88189, -0.28346, -0.38583, 1.00, 0.12451, 0.25293, 0.94043, 0.66064, 0.50196, 0.50196, 0.50196, 1.00, 0, 2, 1, 3, 0, 0, 0, 0, 0.31373, 0.29412, 0.24314, 0.14902, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
474, 30990, 11.93213, -3.54397, 163.90724, 0.01575, -0.7874, 0.61417, 1.00, 0.88189, -0.28346, -0.38583, 1.00, 0.12451, 0.25293, 0.94043, 0.66064, 0.50196, 0.50196, 0.50196, 1.00, 0, 2, 1, 3, 0, 0, 0, 0, 0.31373, 0.29412, 0.24314, 0.14902, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
475, 30991, 12.21625, -3.4557, 164.9335, -0.29921, -0.81102, 0.49606, 1.00, 0.88189, -0.44094, -0.18898, 1.00, 0.13879, 0.23608, 0.94092, 0.65967, 0.50196, 0.50196, 0.50196, 1.00, 0, 2, 1, 3, 0, 0, 0, 0, 0.38431, 0.28627, 0.26275, 0.06667, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
476, 30988, 12.40359, -2.95643, 164.63875, -0.0315, -0.83465, 0.55906, 1.00, 0.90551, -0.25197, -0.33071, 1.00, 0.12451, 0.23608, 0.94043, 0.65967, 0.50196, 0.50196, 0.50196, 1.00, 0, 2, 1, 3, 0, 0, 0, 0, 0.40392, 0.31765, 0.21961, 0.05882, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
477, 30991, 12.21625, -3.4557, 164.9335, -0.29921, -0.81102, 0.49606, 1.00, 0.88189, -0.44094, -0.18898, 1.00, 0.13879, 0.23608, 0.94092, 0.65967, 0.50196, 0.50196, 0.50196, 1.00, 0, 2, 1, 3, 0, 0, 0, 0, 0.38431, 0.28627, 0.26275, 0.06667, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
478, 30990, 11.93213, -3.54397, 163.90724, 0.01575, -0.7874, 0.61417, 1.00, 0.88189, -0.28346, -0.38583, 1.00, 0.12451, 0.25293, 0.94043, 0.66064, 0.50196, 0.50196, 0.50196, 1.00, 0, 2, 1, 3, 0, 0, 0, 0, 0.31373, 0.29412, 0.24314, 0.14902, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
479, 30992, 11.79629, -3.90536, 164.17159, -0.29134, -0.77165, 0.56693, 1.00, 0.85039, -0.48031, -0.2126, 1.00, 0.13879, 0.25293, 0.94092, 0.66064, 0.50196, 0.50196, 0.50196, 1.00, 0, 1, 2, 3, 0, 0, 0, 0, 0.30588, 0.27059, 0.27059, 0.15294, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
480, 30993, 11.372, -3.97099, 163.27629, 0.62992, -0.66929, 0.3937, 1.00, 0.62205, 0.13386, -0.77165, 1.00, 0.11884, 0.26733, 0.93994, 0.66113, 0.50196, 0.50196, 0.50196, 1.00, 1, 2, 0, 3, 0, 0, 0, 0, 0.27843, 0.2549, 0.24706, 0.21961, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
481, 30990, 11.93213, -3.54397, 163.90724, 0.01575, -0.7874, 0.61417, 1.00, 0.88189, -0.28346, -0.38583, 1.00, 0.12451, 0.25293, 0.94043, 0.66064, 0.50196, 0.50196, 0.50196, 1.00, 0, 2, 1, 3, 0, 0, 0, 0, 0.31373, 0.29412, 0.24314, 0.14902, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
482, 30987, 11.81113, -3.37703, 163.8101, 0.52756, -0.73228, 0.4252, 1.00, 0.73228, 0.14173, -0.66929, 1.00, 0.11884, 0.25293, 0.93994, 0.66064, 0.50196, 0.50196, 0.50196, 1.00, 0, 2, 1, 3, 0, 0, 0, 0, 0.31765, 0.30196, 0.23137, 0.14902, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
483, 30990, 11.93213, -3.54397, 163.90724, 0.01575, -0.7874, 0.61417, 1.00, 0.88189, -0.28346, -0.38583, 1.00, 0.12451, 0.25293, 0.94043, 0.66064, 0.50196, 0.50196, 0.50196, 1.00, 0, 2, 1, 3, 0, 0, 0, 0, 0.31373, 0.29412, 0.24314, 0.14902, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
484, 30994, 11.38452, -4.32199, 163.56667, -0.26772, -0.71654, 0.64567, 1.00, 0.81102, -0.52756, -0.25197, 1.00, 0.13879, 0.26733, 0.94092, 0.66113, 0.50196, 0.50196, 0.50196, 1.00, 1, 0, 2, 3, 0, 0, 0, 0, 0.30588, 0.23922, 0.23529, 0.21961, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
485, 30992, 11.79629, -3.90536, 164.17159, -0.29134, -0.77165, 0.56693, 1.00, 0.85039, -0.48031, -0.2126, 1.00, 0.13879, 0.25293, 0.94092, 0.66064, 0.50196, 0.50196, 0.50196, 1.00, 0, 1, 2, 3, 0, 0, 0, 0, 0.30588, 0.27059, 0.27059, 0.15294, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
486, 30994, 11.38452, -4.32199, 163.56667, -0.26772, -0.71654, 0.64567, 1.00, 0.81102, -0.52756, -0.25197, 1.00, 0.13879, 0.26733, 0.94092, 0.66113, 0.50196, 0.50196, 0.50196, 1.00, 1, 0, 2, 3, 0, 0, 0, 0, 0.30588, 0.23922, 0.23529, 0.21961, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
487, 30990, 11.93213, -3.54397, 163.90724, 0.01575, -0.7874, 0.61417, 1.00, 0.88189, -0.28346, -0.38583, 1.00, 0.12451, 0.25293, 0.94043, 0.66064, 0.50196, 0.50196, 0.50196, 1.00, 0, 2, 1, 3, 0, 0, 0, 0, 0.31373, 0.29412, 0.24314, 0.14902, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
488, 30995, 11.47278, -4.07868, 163.33948, 0.07874, -0.71654, 0.69291, 1.00, 0.83465, -0.33858, -0.44094, 1.00, 0.12451, 0.26733, 0.94043, 0.66113, 0.50196, 0.50196, 0.50196, 1.00, 1, 2, 0, 3, 0, 0, 0, 0, 0.28627, 0.25098, 0.24314, 0.21961, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
489, 30990, 11.93213, -3.54397, 163.90724, 0.01575, -0.7874, 0.61417, 1.00, 0.88189, -0.28346, -0.38583, 1.00, 0.12451, 0.25293, 0.94043, 0.66064, 0.50196, 0.50196, 0.50196, 1.00, 0, 2, 1, 3, 0, 0, 0, 0, 0.31373, 0.29412, 0.24314, 0.14902, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
490, 30993, 11.372, -3.97099, 163.27629, 0.62992, -0.66929, 0.3937, 1.00, 0.62205, 0.13386, -0.77165, 1.00, 0.11884, 0.26733, 0.93994, 0.66113, 0.50196, 0.50196, 0.50196, 1.00, 1, 2, 0, 3, 0, 0, 0, 0, 0.27843, 0.2549, 0.24706, 0.21961, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
491, 30995, 11.47278, -4.07868, 163.33948, 0.07874, -0.71654, 0.69291, 1.00, 0.83465, -0.33858, -0.44094, 1.00, 0.12451, 0.26733, 0.94043, 0.66113, 0.50196, 0.50196, 0.50196, 1.00, 1, 2, 0, 3, 0, 0, 0, 0, 0.28627, 0.25098, 0.24314, 0.21961, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
492, 30995, 11.47278, -4.07868, 163.33948, 0.07874, -0.71654, 0.69291, 1.00, 0.83465, -0.33858, -0.44094, 1.00, 0.12451, 0.26733, 0.94043, 0.66113, 0.50196, 0.50196, 0.50196, 1.00, 1, 2, 0, 3, 0, 0, 0, 0, 0.28627, 0.25098, 0.24314, 0.21961, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
493, 30996, 10.88599, -4.76336, 163.02893, -0.23622, -0.6063, 0.75591, 1.00, 0.76378, -0.59843, -0.24409, 1.00, 0.13879, 0.28223, 0.94092, 0.66211, 0.50196, 0.50196, 0.50196, 1.00, 1, 3, 0, 2, 0, 0, 0, 0, 0.34118, 0.31765, 0.17255, 0.16863, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
494, 30994, 11.38452, -4.32199, 163.56667, -0.26772, -0.71654, 0.64567, 1.00, 0.81102, -0.52756, -0.25197, 1.00, 0.13879, 0.26733, 0.94092, 0.66113, 0.50196, 0.50196, 0.50196, 1.00, 1, 0, 2, 3, 0, 0, 0, 0, 0.30588, 0.23922, 0.23529, 0.21961, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
495, 30997, 10.93489, -4.63519, 162.86444, 0.19685, -0.54331, 0.81102, 1.00, 0.77953, -0.41732, -0.46457, 1.00, 0.12451, 0.28223, 0.94043, 0.66211, 0.50196, 0.50196, 0.50196, 1.00, 1, 3, 2, 0, 0, 0, 0, 0, 0.33333, 0.32157, 0.17255, 0.17255, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
496, 30995, 11.47278, -4.07868, 163.33948, 0.07874, -0.71654, 0.69291, 1.00, 0.83465, -0.33858, -0.44094, 1.00, 0.12451, 0.26733, 0.94043, 0.66113, 0.50196, 0.50196, 0.50196, 1.00, 1, 2, 0, 3, 0, 0, 0, 0, 0.28627, 0.25098, 0.24314, 0.21961, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
497, 30993, 11.372, -3.97099, 163.27629, 0.62992, -0.66929, 0.3937, 1.00, 0.62205, 0.13386, -0.77165, 1.00, 0.11884, 0.26733, 0.93994, 0.66113, 0.50196, 0.50196, 0.50196, 1.00, 1, 2, 0, 3, 0, 0, 0, 0, 0.27843, 0.2549, 0.24706, 0.21961, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
498, 30996, 10.88599, -4.76336, 163.02893, -0.23622, -0.6063, 0.75591, 1.00, 0.76378, -0.59843, -0.24409, 1.00, 0.13879, 0.28223, 0.94092, 0.66211, 0.50196, 0.50196, 0.50196, 1.00, 1, 3, 0, 2, 0, 0, 0, 0, 0.34118, 0.31765, 0.17255, 0.16863, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
499, 30995, 11.47278, -4.07868, 163.33948, 0.07874, -0.71654, 0.69291, 1.00, 0.83465, -0.33858, -0.44094, 1.00, 0.12451, 0.26733, 0.94043, 0.66113, 0.50196, 0.50196, 0.50196, 1.00, 1, 2, 0, 3, 0, 0, 0, 0, 0.28627, 0.25098, 0.24314, 0.21961, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
500, 30997, 10.93489, -4.63519, 162.86444, 0.19685, -0.54331, 0.81102, 1.00, 0.77953, -0.41732, -0.46457, 1.00, 0.12451, 0.28223, 0.94043, 0.66211, 0.50196, 0.50196, 0.50196, 1.00, 1, 3, 2, 0, 0, 0, 0, 0, 0.33333, 0.32157, 0.17255, 0.17255, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
