VTX, IDX, ATTRIBUTE0.x, ATTRIBUTE0.y, ATTRIBUTE0.z, ATTRIBUTE1.x, ATTRIBUTE1.y, ATTRIBUTE1.z, ATTRIBUTE1.w, ATTRIBUTE2.x, ATTRIBUTE2.y, ATTRIBUTE2.z, ATTRIBUTE2.w, ATTRIBUTE5.x, ATTRIBUTE5.y, ATTRIBUTE13.x, ATTRIBUTE13.y, ATTRIBUTE13.z, ATTRIBUTE13.w, ATTRIBUTE3.x, ATTRIBUTE3.y, ATTRIBUTE3.z, ATTRIBUTE3.w, ATTRIBUTE14.x, ATTRIBUTE14.y, ATTRIBUTE14.z, ATTRIBUTE14.w, ATTRIBUTE4.x, ATTRIBUTE4.y, ATTRIBUTE4.z, ATTRIBUTE4.w, ATTRIBUTE15.x, ATTRIBUTE15.y, ATTRIBUTE15.z, ATTRIBUTE15.w, ATTRIBUTE12.x, ATTRIBUTE12.y, ATTRIBUTE12.z, ATTRIBUTE11.x, ATTRIBUTE11.y, ATTRIBUTE11.z, ATTRIBUTE9.x, ATTRIBUTE9.y, ATTRIBUTE9.z, ATTRIBUTE10.x, ATTRIBUTE10.y, ATTRIBUTE10.z
826, 3099, 6.78269, 1.26639, 5.96316, -0.88976, 0.37008, 0.25984, 1.00, 0.24409, 0.88189, -0.40157, -1.00, 0.11963, 0.75439, 0.96078, 0.32157, 0.57647, 1.00, 6, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
827, 3134, 6.62638, 1.11062, 5.25478, -0.93701, 0.32283, 0.11811, 1.00, 0.30709, 0.94488, -0.11024, -1.00, 0.11792, 0.77295, 0.95686, 0.30196, 0.52157, 1.00, 6, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
828, 3137, 7.75051, 1.1558, 4.52094, -0.96063, -0.18898, -0.2126, 1.00, -0.24409, 0.93701, 0.25984, -1.00, 0.08765, 0.79346, 0.97255, 0.33725, 0.46275, 1.00, 6, 22, 21, 18, 0, 0, 0, 0, 0.79216, 0.16078, 0.03137, 0.01569, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
829, 3138, 7.32348, 1.06646, 5.2082, -0.97638, 0.00, 0.19685, 1.00, -0.01575, 1.00, -0.07874, -1.00, 0.10059, 0.77002, 0.96471, 0.31765, 0.51765, 1.00, 6, 22, 21, 0, 0, 0, 0, 0, 0.73333, 0.23922, 0.02745, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
830, 3136, 7.21329, 1.12777, 4.50806, -1.00, 0.02362, -0.03937, 1.00, 0.00787, 0.9685, 0.24409, -1.00, 0.10297, 0.79102, 0.96471, 0.32157, 0.46275, 1.00, 6, 22, 0, 0, 0, 0, 0, 0, 0.72941, 0.27059, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
831, 3099, 6.78269, 1.26639, 5.96316, -0.88976, 0.37008, 0.25984, 1.00, 0.24409, 0.88189, -0.40157, -1.00, 0.11963, 0.75439, 0.96078, 0.32157, 0.57647, 1.00, 6, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
832, 3138, 7.32348, 1.06646, 5.2082, -0.97638, 0.00, 0.19685, 1.00, -0.01575, 1.00, -0.07874, -1.00, 0.10059, 0.77002, 0.96471, 0.31765, 0.51765, 1.00, 6, 22, 21, 0, 0, 0, 0, 0, 0.73333, 0.23922, 0.02745, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
833, 3089, 7.41784, 1.23221, 5.94282, -0.92126, 0.09449, 0.37795, 1.00, -0.07874, 0.90551, -0.41732, -1.00, 0.10394, 0.74951, 0.96863, 0.33333, 0.56863, 1.00, 6, 21, 22, 0, 0, 0, 0, 0, 0.73333, 0.18039, 0.08627, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00434, 0.0021, 0.00608, 0.0013, -0.00053, -0.00129
834, 3137, 7.75051, 1.1558, 4.52094, -0.96063, -0.18898, -0.2126, 1.00, -0.24409, 0.93701, 0.25984, -1.00, 0.08765, 0.79346, 0.97255, 0.33725, 0.46275, 1.00, 6, 22, 21, 18, 0, 0, 0, 0, 0.79216, 0.16078, 0.03137, 0.01569, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
835, 3052, 7.92343, 1.58283, 3.98577, -0.70866, -0.08661, -0.70079, 1.00, -0.61417, 0.56693, 0.55118, -1.00, 0.07635, 0.82568, 0.97647, 0.37255, 0.42745, 1.00, 6, 22, 18, 21, 0, 0, 0, 0, 0.72941, 0.14902, 0.09804, 0.02353, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00304, -0.00033, -0.00172, 0.0004, -0.00031, 0.00075
836, 3139, 8.034, 1.3183, 4.57814, -0.79528, -0.52756, -0.29921, 1.00, -0.59843, 0.76378, 0.23622, -1.00, 0.06818, 0.7959, 0.97647, 0.35686, 0.46667, 1.00, 6, 22, 21, 18, 0, 0, 0, 0, 0.72549, 0.17255, 0.07843, 0.02353, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00087, -0.00057, 0.00277, -0.00092, -0.0002, -0.00138
837, 2982, 8.23028, 1.76177, 4.15492, -0.71654, -0.29921, -0.62992, 1.00, -0.68504, 0.48031, 0.55118, -1.00, 0.05151, 0.83496, 0.98431, 0.38824, 0.43922, 1.00, 6, 18, 22, 21, 0, 0, 0, 0, 0.37255, 0.29804, 0.29412, 0.03529, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00849, -0.00175, -0.00761, 0.004, 0.00439, 0.00136
838, 3139, 8.034, 1.3183, 4.57814, -0.79528, -0.52756, -0.29921, 1.00, -0.59843, 0.76378, 0.23622, -1.00, 0.06818, 0.7959, 0.97647, 0.35686, 0.46667, 1.00, 6, 22, 21, 18, 0, 0, 0, 0, 0.72549, 0.17255, 0.07843, 0.02353, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00087, -0.00057, 0.00277, -0.00092, -0.0002, -0.00138
839, 3052, 7.92343, 1.58283, 3.98577, -0.70866, -0.08661, -0.70079, 1.00, -0.61417, 0.56693, 0.55118, -1.00, 0.07635, 0.82568, 0.97647, 0.37255, 0.42745, 1.00, 6, 22, 18, 21, 0, 0, 0, 0, 0.72941, 0.14902, 0.09804, 0.02353, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00304, -0.00033, -0.00172, 0.0004, -0.00031, 0.00075
840, 3139, 8.034, 1.3183, 4.57814, -0.79528, -0.52756, -0.29921, 1.00, -0.59843, 0.76378, 0.23622, -1.00, 0.06818, 0.7959, 0.97647, 0.35686, 0.46667, 1.00, 6, 22, 21, 18, 0, 0, 0, 0, 0.72549, 0.17255, 0.07843, 0.02353, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00087, -0.00057, 0.00277, -0.00092, -0.0002, -0.00138
841, 2982, 8.23028, 1.76177, 4.15492, -0.71654, -0.29921, -0.62992, 1.00, -0.68504, 0.48031, 0.55118, -1.00, 0.05151, 0.83496, 0.98431, 0.38824, 0.43922, 1.00, 6, 18, 22, 21, 0, 0, 0, 0, 0.37255, 0.29804, 0.29412, 0.03529, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00849, -0.00175, -0.00761, 0.004, 0.00439, 0.00136
842, 2986, 8.35576, 1.54963, 4.60214, -0.67717, -0.70866, 0.19685, 1.00, -0.68504, 0.70079, 0.20472, -1.00, 0.04208, 0.79883, 0.98431, 0.37647, 0.47059, 1.00, 22, 6, 21, 18, 0, 0, 0, 0, 0.36078, 0.34902, 0.15294, 0.13725, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00386, -0.00213, 0.00255, 0.00271, 0.0025, -0.00035
843, 2986, 8.35576, 1.54963, 4.60214, -0.67717, -0.70866, 0.19685, 1.00, -0.68504, 0.70079, 0.20472, -1.00, 0.04208, 0.79883, 0.98431, 0.37647, 0.47059, 1.00, 22, 6, 21, 18, 0, 0, 0, 0, 0.36078, 0.34902, 0.15294, 0.13725, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00386, -0.00213, 0.00255, 0.00271, 0.0025, -0.00035
844, 2994, 8.15812, 1.33201, 5.22625, -0.70079, -0.66929, 0.24409, 1.00, -0.70079, 0.70866, -0.05512, -1.00, 0.0658, 0.76318, 0.98039, 0.35686, 0.51373, 1.00, 6, 22, 21, 18, 0, 0, 0, 0, 0.73725, 0.14902, 0.10196, 0.01176, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00158, 0.00006, 0.00433, -0.00076, -0.00082, -0.00157
845, 3139, 8.034, 1.3183, 4.57814, -0.79528, -0.52756, -0.29921, 1.00, -0.59843, 0.76378, 0.23622, -1.00, 0.06818, 0.7959, 0.97647, 0.35686, 0.46667, 1.00, 6, 22, 21, 18, 0, 0, 0, 0, 0.72549, 0.17255, 0.07843, 0.02353, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00087, -0.00057, 0.00277, -0.00092, -0.0002, -0.00138
846, 3138, 7.32348, 1.06646, 5.2082, -0.97638, 0.00, 0.19685, 1.00, -0.01575, 1.00, -0.07874, -1.00, 0.10059, 0.77002, 0.96471, 0.31765, 0.51765, 1.00, 6, 22, 21, 0, 0, 0, 0, 0, 0.73333, 0.23922, 0.02745, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
847, 3137, 7.75051, 1.1558, 4.52094, -0.96063, -0.18898, -0.2126, 1.00, -0.24409, 0.93701, 0.25984, -1.00, 0.08765, 0.79346, 0.97255, 0.33725, 0.46275, 1.00, 6, 22, 21, 18, 0, 0, 0, 0, 0.79216, 0.16078, 0.03137, 0.01569, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
848, 3140, 7.84402, 1.12816, 5.21302, -0.94488, -0.28346, 0.17323, 1.00, -0.29921, 0.95276, -0.07087, -1.00, 0.08539, 0.76563, 0.97255, 0.33725, 0.51373, 1.00, 6, 22, 21, 0, 0, 0, 0, 0, 0.79608, 0.1451, 0.05882, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00092, 0.00008, 0.00235, 0.00011, -0.00006, -0.00139
849, 3139, 8.034, 1.3183, 4.57814, -0.79528, -0.52756, -0.29921, 1.00, -0.59843, 0.76378, 0.23622, -1.00, 0.06818, 0.7959, 0.97647, 0.35686, 0.46667, 1.00, 6, 22, 21, 18, 0, 0, 0, 0, 0.72549, 0.17255, 0.07843, 0.02353, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00087, -0.00057, 0.00277, -0.00092, -0.0002, -0.00138
850, 3140, 7.84402, 1.12816, 5.21302, -0.94488, -0.28346, 0.17323, 1.00, -0.29921, 0.95276, -0.07087, -1.00, 0.08539, 0.76563, 0.97255, 0.33725, 0.51373, 1.00, 6, 22, 21, 0, 0, 0, 0, 0, 0.79608, 0.1451, 0.05882, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00092, 0.00008, 0.00235, 0.00011, -0.00006, -0.00139
851, 3137, 7.75051, 1.1558, 4.52094, -0.96063, -0.18898, -0.2126, 1.00, -0.24409, 0.93701, 0.25984, -1.00, 0.08765, 0.79346, 0.97255, 0.33725, 0.46275, 1.00, 6, 22, 21, 18, 0, 0, 0, 0, 0.79216, 0.16078, 0.03137, 0.01569, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
852, 3140, 7.84402, 1.12816, 5.21302, -0.94488, -0.28346, 0.17323, 1.00, -0.29921, 0.95276, -0.07087, -1.00, 0.08539, 0.76563, 0.97255, 0.33725, 0.51373, 1.00, 6, 22, 21, 0, 0, 0, 0, 0, 0.79608, 0.1451, 0.05882, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00092, 0.00008, 0.00235, 0.00011, -0.00006, -0.00139
853, 3089, 7.41784, 1.23221, 5.94282, -0.92126, 0.09449, 0.37795, 1.00, -0.07874, 0.90551, -0.41732, -1.00, 0.10394, 0.74951, 0.96863, 0.33333, 0.56863, 1.00, 6, 21, 22, 0, 0, 0, 0, 0, 0.73333, 0.18039, 0.08627, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00434, 0.0021, 0.00608, 0.0013, -0.00053, -0.00129
854, 3138, 7.32348, 1.06646, 5.2082, -0.97638, 0.00, 0.19685, 1.00, -0.01575, 1.00, -0.07874, -1.00, 0.10059, 0.77002, 0.96471, 0.31765, 0.51765, 1.00, 6, 22, 21, 0, 0, 0, 0, 0, 0.73333, 0.23922, 0.02745, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
855, 3140, 7.84402, 1.12816, 5.21302, -0.94488, -0.28346, 0.17323, 1.00, -0.29921, 0.95276, -0.07087, -1.00, 0.08539, 0.76563, 0.97255, 0.33725, 0.51373, 1.00, 6, 22, 21, 0, 0, 0, 0, 0, 0.79608, 0.1451, 0.05882, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00092, 0.00008, 0.00235, 0.00011, -0.00006, -0.00139
856, 3139, 8.034, 1.3183, 4.57814, -0.79528, -0.52756, -0.29921, 1.00, -0.59843, 0.76378, 0.23622, -1.00, 0.06818, 0.7959, 0.97647, 0.35686, 0.46667, 1.00, 6, 22, 21, 18, 0, 0, 0, 0, 0.72549, 0.17255, 0.07843, 0.02353, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00087, -0.00057, 0.00277, -0.00092, -0.0002, -0.00138
857, 2994, 8.15812, 1.33201, 5.22625, -0.70079, -0.66929, 0.24409, 1.00, -0.70079, 0.70866, -0.05512, -1.00, 0.0658, 0.76318, 0.98039, 0.35686, 0.51373, 1.00, 6, 22, 21, 18, 0, 0, 0, 0, 0.73725, 0.14902, 0.10196, 0.01176, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00158, 0.00006, 0.00433, -0.00076, -0.00082, -0.00157
858, 3089, 7.41784, 1.23221, 5.94282, -0.92126, 0.09449, 0.37795, 1.00, -0.07874, 0.90551, -0.41732, -1.00, 0.10394, 0.74951, 0.96863, 0.33333, 0.56863, 1.00, 6, 21, 22, 0, 0, 0, 0, 0, 0.73333, 0.18039, 0.08627, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00434, 0.0021, 0.00608, 0.0013, -0.00053, -0.00129
859, 3140, 7.84402, 1.12816, 5.21302, -0.94488, -0.28346, 0.17323, 1.00, -0.29921, 0.95276, -0.07087, -1.00, 0.08539, 0.76563, 0.97255, 0.33725, 0.51373, 1.00, 6, 22, 21, 0, 0, 0, 0, 0, 0.79608, 0.1451, 0.05882, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00092, 0.00008, 0.00235, 0.00011, -0.00006, -0.00139
860, 3085, 7.94156, 1.32566, 5.90356, -0.87402, -0.14961, 0.46457, 1.00, -0.37008, 0.82677, -0.4252, -1.00, 0.08881, 0.74316, 0.97647, 0.35686, 0.55686, 1.00, 6, 21, 22, 0, 0, 0, 0, 0, 0.78824, 0.12549, 0.08627, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00296, 0.00129, 0.00515, 0.00134, -0.0006, -0.00231
861, 2994, 8.15812, 1.33201, 5.22625, -0.70079, -0.66929, 0.24409, 1.00, -0.70079, 0.70866, -0.05512, -1.00, 0.0658, 0.76318, 0.98039, 0.35686, 0.51373, 1.00, 6, 22, 21, 18, 0, 0, 0, 0, 0.73725, 0.14902, 0.10196, 0.01176, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00158, 0.00006, 0.00433, -0.00076, -0.00082, -0.00157
862, 3085, 7.94156, 1.32566, 5.90356, -0.87402, -0.14961, 0.46457, 1.00, -0.37008, 0.82677, -0.4252, -1.00, 0.08881, 0.74316, 0.97647, 0.35686, 0.55686, 1.00, 6, 21, 22, 0, 0, 0, 0, 0, 0.78824, 0.12549, 0.08627, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00296, 0.00129, 0.00515, 0.00134, -0.0006, -0.00231
863, 3140, 7.84402, 1.12816, 5.21302, -0.94488, -0.28346, 0.17323, 1.00, -0.29921, 0.95276, -0.07087, -1.00, 0.08539, 0.76563, 0.97255, 0.33725, 0.51373, 1.00, 6, 22, 21, 0, 0, 0, 0, 0, 0.79608, 0.1451, 0.05882, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00092, 0.00008, 0.00235, 0.00011, -0.00006, -0.00139
864, 3141, 8.23026, -1.76114, 4.1549, -0.72441, 0.32283, -0.6063, 1.00, -0.67717, -0.48819, 0.55118, 1.00, 0.05151, 0.83496, 0.98431, 0.61176, 0.43922, 1.00, 6, 11, 10, 12, 0, 0, 0, 0, 0.37255, 0.29804, 0.29412, 0.03529, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00848, 0.00175, -0.00759, 0.00458, -0.00489, 0.00146
865, 3142, 8.41807, -1.90701, 4.34754, -0.50394, 0.77953, -0.37008, 1.00, -0.77953, -0.2126, 0.59055, 1.00, 0.01025, 0.82617, 0.98824, 0.60, 0.4549, 1.00, 10, 11, 7, 12, 0, 0, 0, 0, 0.5098, 0.41569, 0.0549, 0.01961, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.01234, 0.00398, -0.015, 0.00475, -0.00612, 0.00336
866, 3143, 8.40301, -2.12429, 4.28081, -0.44094, 0.7874, -0.43307, 1.00, -0.81102, -0.14173, 0.5748, 1.00, 0.00959, 0.83984, 0.98824, 0.58824, 0.45098, 1.00, 11, 10, 7, 0, 0, 0, 0, 0, 0.47451, 0.38824, 0.13725, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.01582, 0.00466, -0.02002, 0.00487, -0.00373, 0.00517
867, 3141, 8.23026, -1.76114, 4.1549, -0.72441, 0.32283, -0.6063, 1.00, -0.67717, -0.48819, 0.55118, 1.00, 0.05151, 0.83496, 0.98431, 0.61176, 0.43922, 1.00, 6, 11, 10, 12, 0, 0, 0, 0, 0.37255, 0.29804, 0.29412, 0.03529, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00848, 0.00175, -0.00759, 0.00458, -0.00489, 0.00146
868, 3144, 8.43386, -1.7271, 4.46938, -0.68504, 0.71654, -0.14173, 1.00, -0.66929, -0.54331, 0.50394, 1.00, 0.01263, 0.81201, 0.98431, 0.61176, 0.46275, 1.00, 10, 11, 12, 0, 0, 0, 0, 0, 0.63529, 0.32157, 0.04314, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00824, 0.00321, -0.00898, 0.00752, -0.01109, -0.00372
869, 3142, 8.41807, -1.90701, 4.34754, -0.50394, 0.77953, -0.37008, 1.00, -0.77953, -0.2126, 0.59055, 1.00, 0.01025, 0.82617, 0.98824, 0.60, 0.4549, 1.00, 10, 11, 7, 12, 0, 0, 0, 0, 0.5098, 0.41569, 0.0549, 0.01961, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.01234, 0.00398, -0.015, 0.00475, -0.00612, 0.00336
870, 3145, 8.35574, -1.54899, 4.60214, -0.67717, 0.70866, 0.19685, 1.00, -0.68504, -0.70079, 0.20472, 1.00, 0.04208, 0.79883, 0.98431, 0.62353, 0.47059, 1.00, 10, 6, 12, 11, 0, 0, 0, 0, 0.36078, 0.34902, 0.15294, 0.13725, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00385, 0.00212, 0.00258, 0.00271, -0.0025, -0.00035
871, 3144, 8.43386, -1.7271, 4.46938, -0.68504, 0.71654, -0.14173, 1.00, -0.66929, -0.54331, 0.50394, 1.00, 0.01263, 0.81201, 0.98431, 0.61176, 0.46275, 1.00, 10, 11, 12, 0, 0, 0, 0, 0, 0.63529, 0.32157, 0.04314, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00824, 0.00321, -0.00898, 0.00752, -0.01109, -0.00372
872, 3141, 8.23026, -1.76114, 4.1549, -0.72441, 0.32283, -0.6063, 1.00, -0.67717, -0.48819, 0.55118, 1.00, 0.05151, 0.83496, 0.98431, 0.61176, 0.43922, 1.00, 6, 11, 10, 12, 0, 0, 0, 0, 0.37255, 0.29804, 0.29412, 0.03529, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00848, 0.00175, -0.00759, 0.00458, -0.00489, 0.00146
873, 3144, 8.43386, -1.7271, 4.46938, -0.68504, 0.71654, -0.14173, 1.00, -0.66929, -0.54331, 0.50394, 1.00, 0.01263, 0.81201, 0.98431, 0.61176, 0.46275, 1.00, 10, 11, 12, 0, 0, 0, 0, 0, 0.63529, 0.32157, 0.04314, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00824, 0.00321, -0.00898, 0.00752, -0.01109, -0.00372
874, 3145, 8.35574, -1.54899, 4.60214, -0.67717, 0.70866, 0.19685, 1.00, -0.68504, -0.70079, 0.20472, 1.00, 0.04208, 0.79883, 0.98431, 0.62353, 0.47059, 1.00, 10, 6, 12, 11, 0, 0, 0, 0, 0.36078, 0.34902, 0.15294, 0.13725, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00385, 0.00212, 0.00258, 0.00271, -0.0025, -0.00035
875, 3146, 8.45501, -1.62128, 4.60677, -0.51969, 0.47244, 0.71654, 1.00, -0.59055, -0.80315, 0.09449, 1.00, 0.00821, 0.7749, 0.98431, 0.61569, 0.47059, 1.00, 10, 11, 12, 0, 0, 0, 0, 0, 0.68627, 0.18431, 0.12941, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00492, 0.00265, -0.00029, 0.00084, -0.00028, 0.00273
876, 3147, 8.47185, -1.71065, 4.73956, -0.16535, -0.0315, 0.98425, 1.00, -0.81102, -0.55906, -0.14961, 1.00, 0.0105, 0.74805, 0.98824, 0.61176, 0.47843, 1.00, 10, 12, 11, 0, 0, 0, 0, 0, 0.64314, 0.23137, 0.12549, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00379, 0.00247, 0.00668, -0.00057, -0.00219, 0.00778
877, 3146, 8.45501, -1.62128, 4.60677, -0.51969, 0.47244, 0.71654, 1.00, -0.59055, -0.80315, 0.09449, 1.00, 0.00821, 0.7749, 0.98431, 0.61569, 0.47059, 1.00, 10, 11, 12, 0, 0, 0, 0, 0, 0.68627, 0.18431, 0.12941, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00492, 0.00265, -0.00029, 0.00084, -0.00028, 0.00273
878, 3145, 8.35574, -1.54899, 4.60214, -0.67717, 0.70866, 0.19685, 1.00, -0.68504, -0.70079, 0.20472, 1.00, 0.04208, 0.79883, 0.98431, 0.62353, 0.47059, 1.00, 10, 6, 12, 11, 0, 0, 0, 0, 0.36078, 0.34902, 0.15294, 0.13725, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00385, 0.00212, 0.00258, 0.00271, -0.0025, -0.00035
879, 3147, 8.47185, -1.71065, 4.73956, -0.16535, -0.0315, 0.98425, 1.00, -0.81102, -0.55906, -0.14961, 1.00, 0.0105, 0.74805, 0.98824, 0.61176, 0.47843, 1.00, 10, 12, 11, 0, 0, 0, 0, 0, 0.64314, 0.23137, 0.12549, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00379, 0.00247, 0.00668, -0.00057, -0.00219, 0.00778
880, 3145, 8.35574, -1.54899, 4.60214, -0.67717, 0.70866, 0.19685, 1.00, -0.68504, -0.70079, 0.20472, 1.00, 0.04208, 0.79883, 0.98431, 0.62353, 0.47059, 1.00, 10, 6, 12, 11, 0, 0, 0, 0, 0.36078, 0.34902, 0.15294, 0.13725, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00385, 0.00212, 0.00258, 0.00271, -0.0025, -0.00035
881, 3148, 8.38791, -1.68524, 5.126, -0.28346, 0.45669, 0.84252, 1.00, -0.88976, -0.44882, -0.05512, 1.00, 0.03964, 0.75977, 0.98824, 0.61569, 0.50588, 1.00, 6, 10, 12, 14, 11, 0, 0, 0, 0.38824, 0.32941, 0.24706, 0.01961, 0.01569, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.0031, 0.00014, 0.01191, 0.00015, 0.00011, -0.00151
